Keyword,Name,Sugar_Tot_(g),Vit_C_(mg)
FRUITS,"LOQUATS,RAW",,1
FRUITS,"MAMMY-APPLE,(MAMEY),RAW",,14
FRUITS,"MANGOS,RAW",13.66,36.4
FRUITS,"MANGO,DRIED,SWTND",66.27,42.3
FRUITS,"MELONS,CANTALOUPE,RAW",7.86,36.7
FRUITS,"MELONS,CASABA,RAW",5.69,21.8
FRUITS,"MELONS,HONEYDEW,RAW",8.12,18
FRUITS,"MELON BALLS,FROZEN",,6.2
FRUITS,"MULBERRIES,RAW",8.1,36.4
FRUITS,"NECTARINES,RAW",7.89,5.4
FRUITS,"OHELOBERRIES,RAW",,6
FRUITS,"OLIVES,RIPE,CND (SMALL-EXTRA LRG)",0,0.9
FRUITS,"OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)",0,1.5
FRUITS,"OLIVES,PICKLED,CND OR BTLD,GRN",0.54,0
FRUITS,"ORANGES,RAW,ALL COMM VAR",9.35,53.2
FRUITS,"ORANGES,RAW,CALIFORNIA,VALENCIAS",,48.5
FRUITS,"ORANGES,RAW,NAVELS",8.5,59.1
FRUITS,"ORANGES,RAW,FLORIDA",9.14,45
FRUITS,"ORANGES,RAW,WITH PEEL",,71
FRUITS,"TANGERINES,(MANDARIN ORANGES),RAW",10.58,26.7
FRUITS,"TANGERINE JUICE,RAW",9.9,31
FRUITS,"PAPAYAS,RAW",7.82,60.9
FRUITS,"PASSION-FRUIT,(GRANADILLA),PURPLE,RAW",11.2,30
FRUITS,"PEACHES,YEL,RAW",8.39,6.6
FRUITS,"PEACHES,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",,10.6
FRUITS,"PEACHES,DEHYD (LOW-MOISTURE),SULFURED,STWD",,6.8
FRUITS,"PEACHES,DRIED,SULFURED,UNCKD",41.74,4.8
FRUITS,"PEACHES,DRIED,SULFURED,STWD,WO/ SUGAR",16.99,3.7
FRUITS,"PEACHES,DRIED,SULFURED,STWD,W/ SUGAR",,3.4
FRUITS,"PEACHES,FRZ,SLICED,SWTND",22.18,94.2
FRUITS,"PEARS,RAW",9.75,4.3
FRUITS,"PEARS,DRIED,SULFURED,UNCKD",62.2,7
FRUITS,"PEARS,DRIED,SULFURED,STWD,WO/ SUGAR",27.41,4
FRUITS,"PEARS,DRIED,SULFURED,STWD,W/ SUGAR",,3.8
FRUITS,"PERSIMMONS,JAPANESE,RAW",12.53,7.5
FRUITS,"PERSIMMONS,JAPANESE,DRIED",,0
FRUITS,"PERSIMMONS,NATIVE,RAW",,66
FRUITS,"PINEAPPLE,RAW,ALL VAR",9.85,47.8
FRUITS,"PINEAPPLE,FRZ,CHUNKS,SWTND",21.1,8
FRUITS,"PITANGA,(SURINAM-CHERRY),RAW",,26.3
FRUITS,"PLANTAINS,RAW",15,18.4
FRUITS,"PLANTAINS,COOKED",14,10.9
FRUITS,"PLUMS,RAW",9.92,9.5
FRUITS,"POMEGRANATES,RAW",13.67,10.2
FRUITS,"PRICKLY PEARS,RAW",,14
FRUITS,"PRUNES,DEHYD (LOW-MOISTURE),UNCKD",,0
FRUITS,"PRUNES,DEHYD (LOW-MOISTURE),STWD",,0
FRUITS,"PLUMS,DRIED (PRUNES),UNCKD",38.13,0.6
FRUITS,"PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR",24.98,2.9
FRUITS,"PLUMS,DRIED (PRUNES),STWD,W/ ADDED SUGAR",,2.7
FRUITS,"PUMMELO,RAW",,61
FRUITS,"QUINCES,RAW",,15
FRUITS,"RAISINS,GOLDEN SEEDLESS",59.19,3.2
FRUITS,"RAISINS,SEEDLESS",59.19,2.3
FRUITS,"RAISINS,SEEDED",,5.4
FRUITS,"RASPBERRIES,RAW",4.42,26.2
FRUITS,"RASPBERRIES,FRZ,RED,SWTND",21.76,16.5
FRUITS,"RHUBARB,RAW",1.1,8
FRUITS,"RHUBARB,FROZEN,UNCOOKED",1.1,4.8
FRUITS,"RHUBARB,FRZ,CKD,W/SUGAR",28.7,3.3
FRUITS,"ROSELLE,RAW",,12
FRUITS,"ROSE-APPLES,RAW",,22.3
FRUITS,"SAPODILLA,RAW",,14.7
FRUITS,"SAPOTE,MAMEY,RAW",20.14,23
FRUITS,"SOURSOP,RAW",13.54,20.6
FRUITS,"STRAWBERRIES,RAW",4.89,58.8
FRUITS,"STRAWBERRIES,FRZ,UNSWTND",4.56,41.2
FRUITS,"STRAWBERRIES,FRZ,SWTND,WHL",18.61,39.5
FRUITS,"STRAWBERRIES,FRZ,SWTND,SLICED",24.01,41.4
FRUITS,"SUGAR-APPLES,(SWEETSOP),RAW",,36.3
FRUITS,"TAMARINDS,RAW",38.8,3.5
FRUITS,"WATERMELON,RAW",6.2,8.1
FRUITS,"MARASCHINO CHERRIES,CND,DRND",38.77,0
FRUITS,"FEIJOA,RAW",8.2,32.9
FRUITS,"PEARS,ASIAN,RAW",7.05,3.8
FRUITS,"PEARS,RAW,BARTLETT",9.69,4.4
FRUITS,"PEARS,RAW,RED ANJOU",9.54,5.2
FRUITS,"PEARS,RAW,BOSC",10.23,2.8
FRUITS,"PEARS,RAW,GRN ANJOU",9.73,4.4
FRUITS,"DATES,MEDJOOL",66.47,0
FRUITS,"DURIAN,RAW OR FROZEN",,19.7
FRUITS,PRUNE PUREE,39,4.3
FRUITS,CANDIED FRUIT,80.68,0
FRUITS,"ABIYUCH,RAW",8.55,54.1
FRUITS,"ROWAL,RAW",14.1,25.8
FRUITS,"PINEAPPLE,RAW,TRADITIONAL VAR",8.29,16.9
FRUITS,"PINEAPPLE,RAW,EX SWT VAR",10.32,56.4
FRUITS,"CLEMENTINES,RAW",9.18,48.8
FRUITS,"PLANTAINS,GRN,FRIED",3.63,3.4
FRUITS,"PLANTAINS,YEL,FRIED,LATINO RESTAURANT",21.76,
FRUITS,"NANCE,FRZ,UNSWTND",8.31,92.5
FRUITS,HORNED MELON (KIWANO),,5.3
FRUITS,"APPLES,RAW,RED DELICIOUS,W/ SKN",10.48,
FRUITS,"APPLES,RAW,GOLDEN DELICIOUS,W/ SKN",10.04,
FRUITS,"APPLES,RAW,GRANNY SMITH,W/ SKN",9.59,
FRUITS,"APPLES,RAW,GALA,W/ SKN",10.37,
FRUITS,"APPLES,RAW,FUJI,W/ SKN",11.68,
FRUITS,"RASPBERRIES,FRZ,UNSWTND",4.42,26.2
FRUITS,"FRUIT LEATHER,PIECES",57.58,56
FRUITS,"FRUIT LEATHER,ROLLS",49.16,120
FRUITS,"CRANBERRIES,WILD,BUSH,RAW (ALASKA NATIVE)",,15
FRUITS,"CRANBERRY,LO BUSH OR LINGENBERRY,RAW (ALASKA NATIVE)",,21
FRUITS,"MELON,BANANA (NAVAJO)",3.36,8.1
FRUITS,"AGAVE,RAW (SOUTHWEST)",2.58,4
FRUITS,"AGAVE,CKD (SOUTHWEST)",20.87,0.3
FRUITS,"AGAVE,DRIED (SOUTHWEST)",50.7,0.3
FRUITS,"RASPBERRIES,WILD (NORTHERN PLAINS INDIANS)",5.54,26.4
FRUITS,"PLUMS,WILD (NORTHERN PLAINS INDIANS)",10.61,10.3
